category_name,coarse_class,class
Anorak,1,1
Blazer,1,2
Blouse,1,3
Bomber,1,4
Button-Down,1,5
Cardigan,1,6
Flannel,1,7
Halter,1,8
Henley,1,9
Hoodie,1,10
Jacket,1,11
Jersey,1,12
Parka,1,13
Peacoat,1,14
Poncho,1,15
Sweater,1,16
Tank,1,17
Tee,1,18
Top,1,19
Turtleneck,1,20
Capris,2,21
Chinos,2,22
Culottes,2,23
Cutoffs,2,24
Gauchos,2,25
Jeans,2,26
Jeggings,2,27
Jodhpurs,2,28
Joggers,2,29
Leggings,2,30
Sarong,2,31
Shorts,2,32
Skirt,2,33
Sweatpants,2,34
Sweatshorts,2,35
Trunks,2,36
Caftan,3,37
Cape,3,38
Coat,3,39
Coverup,3,40
Dress,3,41
Jumpsuit,3,42
Kaftan,3,43
Kimono,3,44
Nightdress,3,45
Onesie,3,46
Robe,3,47
Romper,3,48
Shirtdress,3,49
Sundress,3,50
